EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : sea level pressure in 0.1 hPa
23-27 Q_PP : Quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121041)
See file sources.txt for more info.



 SOUID,    DATE,   PP, Q_PP
121041,19590901,10227,    0
121041,19590902,10222,    0
121041,19590903,10221,    0
121041,19590904,10230,    0
121041,19590905,10205,    0
121041,19590906,10206,    0
121041,19590907,10238,    0
121041,19590908,10249,    0
121041,19590909,10241,    0
121041,19590910,10233,    0
121041,19590911,10201,    0
121041,19590912,10156,    0
121041,19590913,10151,    0
121041,19590914,10176,    0
121041,19590915,10153,    0
121041,19590916,10144,    0
121041,19590917,10176,    0
121041,19590918,10239,    0
121041,19590919,10248,    0
121041,19590920,10240,    0
121041,19590921,10183,    0
121041,19590922,10178,    0
121041,19590923,10212,    0
121041,19590924,10198,    0
121041,19590925,10158,    0
121041,19590926,10148,    0
121041,19590927,10239,    0
121041,19590928,10302,    0
121041,19590929,10289,    0
121041,19590930,10264,    0
121041,19591001,10263,    0
121041,19591002,10277,    0
121041,19591003,10266,    0
121041,19591004,10247,    0
121041,19591005,10253,    0
121041,19591006,10237,    0
121041,19591007,10234,    0
121041,19591008,10224,    0
121041,19591009,10213,    0
121041,19591010,10138,    0
121041,19591011,10146,    0
121041,19591012,10214,    0
121041,19591013,10256,    0
121041,19591014,10263,    0
121041,19591015,10242,    0
121041,19591016,10197,    0
121041,19591017,10143,    0
121041,19591018,10129,    0
121041,19591019,10120,    0
121041,19591020,10179,    0
121041,19591021,10250,    0
121041,19591022,10220,    0
121041,19591023,10327,    0
121041,19591024,10256,    0
121041,19591025,10193,    0
121041,19591026,10175,    0
121041,19591027, 9892,    0
121041,19591028, 9896,    0
121041,19591029,10010,    0
121041,19591030,10074,    0
121041,19591031,10059,    0
121041,19591101,10212,    0
121041,19591102,10272,    0
121041,19591103,10217,    0
121041,19591104,10198,    0
121041,19591105,10174,    0
121041,19591106,10197,    0
121041,19591107,10208,    0
121041,19591108,10241,    0
121041,19591109,10170,    0
121041,19591110,10074,    0
121041,19591111,10046,    0
121041,19591112,10056,    0
121041,19591113,10083,    0
121041,19591114,10012,    0
121041,19591115,10023,    0
121041,19591116,10058,    0
121041,19591117,10091,    0
121041,19591118,10036,    0
121041,19591119,10160,    0
121041,19591120,10193,    0
121041,19591121,10224,    0
121041,19591122,10269,    0
121041,19591123,10277,    0
121041,19591124,10245,    0
121041,19591125,10238,    0
121041,19591126,10162,    0
121041,19591127,10144,    0
121041,19591128,10159,    0
121041,19591129,10072,    0
121041,19591130, 9987,    0
121041,19591201, 9925,    0
121041,19591202,10035,    0
121041,19591203,10033,    0
121041,19591204,10017,    0
121041,19591205,10095,    0
121041,19591206,10120,    0
121041,19591207,10017,    0
121041,19591208,10003,    0
121041,19591209,10086,    0
121041,19591210,10096,    0
121041,19591211,10050,    0
121041,19591212,10166,    0
121041,19591213,10232,    0
